Round,Home,Home_Score,Away,Away_Score,Venue,Date,Match_Centre_URL,Home_Win,Year,Month,Day
Round 22,Dragons,0,Raiders,0,WIN Stadium,2025-08-02 07:30:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-22/dragons-v-raiders/,False,2025,8,2
Round 22,Sea Eagles,0,Roosters,0,4 Pines Park,2025-08-02 09:35:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-22/sea-eagles-v-roosters/,False,2025,8,2
Round 22,Wests Tigers,0,Bulldogs,0,CommBank Stadium,2025-08-03 04:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-22/wests-tigers-v-bulldogs/,False,2025,8,3
Round 22,Sharks,0,Cowboys,0,Sharks Stadium,2025-08-03 06:05:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-22/sharks-v-cowboys/,False,2025,8,3
Round 23,Storm,0,Broncos,0,AAMI Park,2025-08-07 09:50:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-23/storm-v-broncos/,False,2025,8,7
Round 23,Knights,0,Panthers,0,McDonald Jones Stadium,2025-08-08 08:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-23/knights-v-panthers/,False,2025,8,8
Round 23,Raiders,0,Sea Eagles,0,GIO Stadium,2025-08-08 10:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-23/raiders-v-sea-eagles/,False,2025,8,8
Round 23,Dragons,0,Sharks,0,Jubilee Stadium,2025-08-09 05:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-23/dragons-v-sharks/,False,2025,8,9
Round 23,Dolphins,0,Roosters,0,Suncorp Stadium,2025-08-09 07:30:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-23/dolphins-v-roosters/,False,2025,8,9
Round 23,Bulldogs,0,Warriors,0,Accor Stadium,2025-08-09 09:35:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-23/bulldogs-v-warriors/,False,2025,8,9
Round 23,Titans,0,Rabbitohs,0,Cbus Super Stadium,2025-08-10 04:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-23/titans-v-rabbitohs/,False,2025,8,10
Round 23,Eels,0,Cowboys,0,CommBank Stadium,2025-08-10 06:05:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-23/eels-v-cowboys/,False,2025,8,10
Round 24,Panthers,0,Storm,0,CommBank Stadium,2025-08-14 09:50:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-24/panthers-v-storm/,False,2025,8,14
